student_id,gender,average_score,attendance_percentage,study_hours_per_week,test_preparation,low_score_flag,low_attendance_flag,low_study_hours_flag,risk_level
S1399,male,49.2,96.0,2.0,completed,False,False,True,No Risk Indicated
S1400,female,48.4,71.5,3.6,none,False,True,False,No Risk Indicated
S1401,female,47.8,74.0,5.7,completed,False,True,False,No Risk Indicated
S1402,male,34.8,84.1,1.3,none,True,False,True,Medium Risk
S1403,female,43.3,85.9,0.7,none,False,False,True,No Risk Indicated
S1404,male,61.7,87.0,5.6,none,False,False,False,No Risk Indicated
S1405,female,54.5,91.1,2.8,none,False,False,True,No Risk Indicated
S1406,male,49.1,84.0,3.2,none,False,False,False,No Risk Indicated
S1407,male,34.3,86.9,0.3,none,True,False,True,Medium Risk
S1408,female,49.7,79.4,2.6,none,False,False,True,No Risk Indicated
S1409,male,48.6,82.6,4.0,completed,False,False,False,No Risk Indicated
S1410,male,49.2,83.1,5.9,none,False,False,False,No Risk Indicated
S1411,male,49.2,84.2,2.5,completed,False,False,True,No Risk Indicated
S1412,male,55.0,89.7,7.3,completed,False,False,False,No Risk Indicated
S1413,male,45.0,87.6,2.6,none,False,False,True,No Risk Indicated
S1414,male,46.5,82.4,2.6,none,False,False,True,No Risk Indicated
S1415,female,57.4,73.9,7.1,completed,False,True,False,No Risk Indicated
S1416,female,60.5,82.7,4.4,completed,False,False,False,No Risk Indicated
S1417,male,49.2,81.7,2.9,none,False,False,True,No Risk Indicated
S1418,male,60.7,83.9,3.7,completed,False,False,False,No Risk Indicated
S1419,female,60.0,100.0,6.7,none,False,False,False,No Risk Indicated
S1420,female,53.1,76.8,6.9,none,False,False,False,No Risk Indicated
S1421,female,47.1,86.2,2.4,completed,False,False,True,No Risk Indicated
S1422,female,49.3,92.7,3.9,none,False,False,False,No Risk Indicated
S1423,female,58.3,83.0,4.2,completed,False,False,False,No Risk Indicated
S1424,male,41.7,100.0,2.0,none,False,False,True,No Risk Indicated
S1425,male,48.4,78.2,3.9,completed,False,False,False,No Risk Indicated
S1426,female,40.2,85.2,4.0,none,False,False,False,No Risk Indicated
S1427,female,43.8,74.0,6.3,none,False,True,False,No Risk Indicated
S1428,male,37.3,78.5,6.4,none,True,False,False,Watch
S1429,female,50.2,84.5,3.3,none,False,False,False,No Risk Indicated
S1430,male,62.0,90.5,3.6,completed,False,False,False,No Risk Indicated
S1431,female,50.9,85.2,5.3,none,False,False,False,No Risk Indicated
S1432,female,56.9,94.6,2.8,none,False,False,True,No Risk Indicated
S1433,male,47.3,81.1,5.2,none,False,False,False,No Risk Indicated
S1434,male,70.8,78.7,3.8,none,False,False,False,No Risk Indicated
S1435,male,56.5,100.0,2.1,completed,False,False,True,No Risk Indicated
S1436,female,43.1,85.9,2.1,none,False,False,True,No Risk Indicated
S1437,female,56.8,74.8,6.9,completed,False,True,False,No Risk Indicated
S1438,male,37.9,75.1,3.7,none,True,False,False,Watch
S1439,male,65.0,72.6,7.3,completed,False,True,False,No Risk Indicated
S1440,female,47.1,91.4,3.0,none,False,False,False,No Risk Indicated
S1441,male,58.3,78.4,4.6,none,False,False,False,No Risk Indicated
S1442,male,64.0,83.3,8.8,completed,False,False,False,No Risk Indicated
S1443,male,48.3,81.4,1.9,completed,False,False,True,No Risk Indicated
S1444,female,44.5,89.3,0.2,completed,False,False,True,No Risk Indicated
S1445,female,54.4,73.5,6.6,none,False,True,False,No Risk Indicated
S1446,male,35.8,71.2,2.3,none,True,True,True,High Risk
S1447,female,49.2,84.2,4.0,completed,False,False,False,No Risk Indicated
S1448,female,39.3,88.0,2.8,none,True,False,True,Medium Risk
S1449,male,70.1,85.3,4.5,completed,False,False,False,No Risk Indicated
S1450,female,40.7,73.9,2.1,none,False,True,True,No Risk Indicated
S1451,female,37.1,88.8,3.6,none,True,False,False,Watch
S1452,male,47.2,74.6,4.9,completed,False,True,False,No Risk Indicated
S1453,male,40.9,76.8,2.0,completed,False,False,True,No Risk Indicated
S1454,female,40.0,72.6,2.6,none,False,True,True,No Risk Indicated
S1455,female,53.4,95.0,3.3,none,False,False,False,No Risk Indicated
S1456,male,43.2,88.3,1.1,none,False,False,True,No Risk Indicated
S1457,female,46.3,88.0,3.2,none,False,False,False,No Risk Indicated
S1458,female,52.4,94.5,4.2,none,False,False,False,No Risk Indicated
S1459,male,46.8,100.0,3.2,none,False,False,False,No Risk Indicated
S1460,female,37.3,64.9,3.5,completed,True,True,False,Medium Risk
S1461,male,44.4,74.6,4.0,completed,False,True,False,No Risk Indicated
S1462,female,31.5,75.8,2.7,none,True,False,True,Medium Risk
S1463,male,49.7,73.5,5.4,none,False,True,False,No Risk Indicated
S1464,male,54.3,71.2,6.9,none,False,True,False,No Risk Indicated
S1465,female,49.4,79.0,3.1,none,False,False,False,No Risk Indicated
S1466,male,39.6,69.8,5.0,none,True,True,False,Medium Risk
S1467,female,47.8,85.4,3.5,none,False,False,False,No Risk Indicated
S1468,male,47.7,82.5,4.7,completed,False,False,False,No Risk Indicated
S1469,female,59.7,86.8,7.1,none,False,False,False,No Risk Indicated
S1470,female,55.0,87.1,5.0,none,False,False,False,No Risk Indicated
S1471,female,37.7,88.0,0.5,none,True,False,True,Medium Risk
S1472,male,52.0,78.3,4.9,completed,False,False,False,No Risk Indicated
S1473,male,64.6,100.0,6.5,completed,False,False,False,No Risk Indicated
S1474,female,38.1,84.3,3.6,none,True,False,False,Watch
S1475,female,42.7,63.4,6.0,completed,False,True,False,No Risk Indicated
S1476,female,44.2,72.0,2.6,none,False,True,True,No Risk Indicated
S1477,male,31.5,81.7,1.0,none,True,False,True,Medium Risk
S1478,female,45.5,82.2,4.3,completed,False,False,False,No Risk Indicated
S1479,male,27.4,80.8,0.5,none,True,False,True,Medium Risk
S1480,male,34.9,77.3,3.5,none,True,False,False,Watch
S1481,female,61.0,100.0,6.6,none,False,False,False,No Risk Indicated
S1482,male,34.1,87.5,0.2,none,True,False,True,Medium Risk
S1483,female,45.9,89.3,1.4,completed,False,False,True,No Risk Indicated
S1484,male,32.5,72.7,1.9,none,True,True,True,High Risk
S1485,male,39.1,72.0,3.9,none,True,True,False,Medium Risk
S1486,male,30.8,82.4,3.3,none,True,False,False,Watch
S1487,female,57.4,83.7,6.8,none,False,False,False,No Risk Indicated
S1488,female,47.6,63.4,5.9,none,False,True,False,No Risk Indicated
S1489,female,39.1,80.2,5.0,none,True,False,False,Watch
S1490,female,49.6,82.1,4.3,completed,False,False,False,No Risk Indicated
S1491,female,50.3,79.8,4.8,none,False,False,False,No Risk Indicated
S1492,female,34.4,73.9,2.3,none,True,True,True,High Risk
S1493,female,43.2,76.6,5.7,none,False,False,False,No Risk Indicated
S1494,male,40.3,80.2,1.8,none,False,False,True,No Risk Indicated
S1495,male,45.6,82.9,5.7,none,False,False,False,No Risk Indicated
S1496,male,63.0,88.0,6.4,none,False,False,False,No Risk Indicated
S1497,male,59.0,92.8,4.4,none,False,False,False,No Risk Indicated
S1498,female,49.2,79.1,3.6,completed,False,False,False,No Risk Indicated
S1499,male,56.8,77.4,4.8,completed,False,False,False,No Risk Indicated
