student_id,gender,parental_education,lunch,test_preparation,attendance_percentage,study_hours_per_week,math_score,reading_score,writing_score,average_score,grade,attendance_band
S1264,female,high school,free/reduced,none,78.9,3.1,38.2,43.5,37.6,39.8,F,Good (75-89%)
S1265,female,high school,standard,none,83.0,4.7,54.7,49.4,56.0,53.4,D,Good (75-89%)
S1266,male,high school,standard,completed,99.0,5.2,62.5,68.7,63.9,65.0,C,Excellent (90-100%)
S1267,male,associate's degree,free/reduced,completed,68.6,2.2,33.7,40.4,40.0,38.0,F,Average (60-74%)
S1268,female,some high school,standard,none,89.7,4.1,55.7,53.4,53.2,54.1,D,Good (75-89%)
S1269,female,bachelor's degree,standard,none,63.1,0.0,14.6,24.3,23.5,20.8,F,Average (60-74%)
S1270,male,bachelor's degree,standard,completed,84.2,4.4,53.5,53.5,51.6,52.9,D,Good (75-89%)
S1271,male,some college,standard,completed,97.8,5.5,65.6,64.2,63.5,64.4,C,Excellent (90-100%)
S1272,male,high school,free/reduced,completed,86.9,3.4,64.0,72.8,70.0,68.9,C,Good (75-89%)
S1273,female,associate's degree,free/reduced,none,83.7,7.6,49.8,57.4,55.5,54.2,D,Good (75-89%)
S1274,male,some high school,free/reduced,completed,76.4,2.2,56.6,55.2,55.6,55.8,D,Good (75-89%)
S1275,male,high school,standard,none,82.3,4.4,52.3,44.5,47.3,48.0,D,Good (75-89%)
S1276,male,master's degree,standard,completed,79.5,3.9,60.3,47.0,54.5,53.9,D,Good (75-89%)
S1277,female,master's degree,standard,none,74.1,3.8,40.1,29.9,33.3,34.4,F,Average (60-74%)
S1278,male,associate's degree,standard,completed,79.1,3.8,54.4,45.7,45.2,48.4,D,Good (75-89%)
S1279,male,high school,standard,none,84.0,4.2,53.7,43.5,56.3,51.2,D,Good (75-89%)
S1280,male,associate's degree,standard,none,74.3,5.7,59.2,59.6,50.7,56.5,D,Average (60-74%)
S1281,male,associate's degree,standard,completed,73.9,6.8,58.5,64.4,59.9,60.9,C,Average (60-74%)
S1282,female,some college,standard,none,68.4,4.0,48.9,44.6,46.3,46.6,D,Average (60-74%)
S1283,male,associate's degree,free/reduced,completed,85.9,5.6,52.7,64.9,71.5,63.0,C,Good (75-89%)
S1284,male,some high school,standard,none,87.5,2.6,51.3,50.4,49.6,50.4,D,Good (75-89%)
S1285,female,high school,standard,completed,84.3,5.5,56.3,56.6,53.7,55.5,D,Good (75-89%)
S1286,male,some college,free/reduced,none,91.7,2.5,59.3,58.5,55.6,57.8,D,Excellent (90-100%)
S1287,female,high school,free/reduced,none,82.9,6.2,53.3,52.2,49.6,51.7,D,Good (75-89%)
S1288,female,high school,free/reduced,none,85.9,8.4,50.8,51.1,46.2,49.4,D,Good (75-89%)
S1289,male,bachelor's degree,standard,none,85.0,3.8,45.8,44.3,35.9,42.0,D,Good (75-89%)
S1290,female,master's degree,free/reduced,none,81.1,0.0,52.8,49.4,38.6,46.9,D,Good (75-89%)
S1291,male,some college,standard,completed,76.7,2.9,52.4,50.4,54.3,52.4,D,Good (75-89%)
S1292,female,bachelor's degree,standard,completed,100.0,6.5,67.7,59.3,62.2,63.1,C,Excellent (90-100%)
S1293,male,master's degree,standard,completed,77.5,5.1,60.5,63.6,54.1,59.4,D,Good (75-89%)
S1294,female,some high school,standard,none,75.3,4.5,56.6,53.5,53.3,54.5,D,Good (75-89%)
S1295,female,some college,standard,none,86.3,6.0,48.6,67.3,57.8,57.9,D,Good (75-89%)
S1296,female,some college,standard,none,84.5,5.0,35.5,51.2,43.0,43.2,D,Good (75-89%)
S1297,male,some high school,free/reduced,completed,68.0,6.4,48.7,59.0,47.9,51.9,D,Average (60-74%)
S1298,male,associate's degree,standard,completed,93.2,5.8,67.9,58.7,67.5,64.7,C,Excellent (90-100%)
S1299,male,some college,standard,none,81.1,7.0,41.6,39.5,43.8,41.6,D,Good (75-89%)
S1300,male,some college,standard,completed,70.9,4.7,59.2,59.6,51.6,56.8,D,Average (60-74%)
S1301,female,high school,standard,none,93.9,5.8,57.8,50.3,48.5,52.2,D,Excellent (90-100%)
S1302,male,high school,standard,none,88.3,3.4,47.8,58.1,54.0,53.3,D,Good (75-89%)
S1303,female,bachelor's degree,standard,none,69.4,2.8,56.0,54.6,50.1,53.6,D,Average (60-74%)
S1304,female,some high school,standard,none,99.8,7.4,53.9,61.9,58.3,58.0,D,Excellent (90-100%)
S1305,male,high school,free/reduced,completed,88.6,4.4,47.5,58.3,60.6,55.5,D,Good (75-89%)
S1306,male,high school,free/reduced,completed,81.9,5.6,59.3,67.0,53.9,60.1,C,Good (75-89%)
S1307,female,some college,standard,none,97.9,4.2,62.3,61.1,59.2,60.9,C,Excellent (90-100%)
S1308,male,some college,standard,none,83.6,2.8,40.3,39.8,44.2,41.4,D,Good (75-89%)
S1309,male,some college,free/reduced,completed,81.7,4.0,47.8,57.0,53.0,52.6,D,Good (75-89%)
S1310,female,some high school,free/reduced,completed,75.4,6.9,59.6,69.6,63.1,64.1,C,Good (75-89%)
S1311,female,high school,standard,none,87.8,5.1,54.8,52.5,51.3,52.9,D,Good (75-89%)
S1312,male,bachelor's degree,free/reduced,none,86.8,0.6,28.2,26.6,17.2,24.0,F,Good (75-89%)
S1313,male,associate's degree,free/reduced,none,82.1,3.6,31.5,38.4,31.2,33.7,F,Good (75-89%)
S1314,male,associate's degree,free/reduced,none,74.1,7.6,57.9,63.4,61.6,61.0,C,Average (60-74%)
S1315,female,associate's degree,standard,completed,83.3,3.6,53.8,48.8,54.3,52.3,D,Good (75-89%)
S1316,female,associate's degree,standard,none,81.3,0.4,26.0,24.2,31.5,27.2,F,Good (75-89%)
S1317,female,some high school,standard,completed,68.7,7.8,51.4,51.8,60.8,54.7,D,Average (60-74%)
S1318,female,high school,standard,none,67.3,5.4,52.5,38.6,36.4,42.5,D,Average (60-74%)
S1319,female,some college,standard,none,87.7,3.9,55.8,49.9,50.6,52.1,D,Good (75-89%)
S1320,male,high school,standard,completed,56.0,3.3,26.1,34.7,32.4,31.1,F,Low (<60%)
S1321,male,bachelor's degree,standard,none,84.1,6.2,40.7,46.5,42.7,43.3,D,Good (75-89%)
S1322,female,some college,standard,none,77.2,2.9,43.9,44.2,49.3,45.8,D,Good (75-89%)
S1323,female,associate's degree,free/reduced,completed,95.1,6.3,67.5,58.4,68.2,64.7,C,Excellent (90-100%)
S1324,female,bachelor's degree,standard,completed,77.1,5.1,56.5,55.5,58.6,56.9,D,Good (75-89%)
S1325,male,some college,standard,none,88.6,4.5,50.5,45.5,50.5,48.8,D,Good (75-89%)
S1326,male,bachelor's degree,free/reduced,none,78.0,4.3,46.4,50.6,38.9,45.3,D,Good (75-89%)
S1327,male,some college,free/reduced,none,83.1,3.7,52.0,49.3,51.5,50.9,D,Good (75-89%)
S1328,male,bachelor's degree,free/reduced,none,89.4,6.1,47.7,58.8,58.4,55.0,D,Good (75-89%)
S1329,female,high school,free/reduced,none,77.4,2.3,42.9,51.7,35.2,43.3,D,Good (75-89%)
S1330,female,some college,free/reduced,none,92.0,0.8,37.5,41.7,42.2,40.5,D,Excellent (90-100%)
S1331,male,some college,standard,completed,72.1,5.2,51.6,43.5,41.0,45.4,D,Average (60-74%)
S1332,male,some high school,standard,completed,84.9,5.3,53.2,56.7,60.4,56.8,D,Good (75-89%)
S1333,female,some college,standard,completed,91.2,5.0,68.0,68.6,72.5,69.7,C,Excellent (90-100%)
S1334,male,bachelor's degree,standard,completed,88.6,4.8,59.2,57.0,58.4,58.2,D,Good (75-89%)
S1335,female,associate's degree,free/reduced,completed,100.0,3.4,49.2,53.9,44.3,49.1,D,Excellent (90-100%)
S1336,female,high school,standard,completed,74.4,5.6,53.1,43.8,45.7,47.5,D,Average (60-74%)
S1337,male,high school,standard,completed,68.2,3.9,47.4,43.7,50.9,47.3,D,Average (60-74%)
S1338,male,high school,standard,none,72.1,3.0,35.5,36.3,36.2,36.0,F,Average (60-74%)
S1339,female,some high school,standard,none,88.6,3.4,59.6,49.9,36.0,48.5,D,Good (75-89%)
S1340,female,bachelor's degree,standard,none,87.0,8.0,67.6,59.4,66.9,64.6,C,Good (75-89%)
S1341,male,some college,standard,completed,83.0,0.5,47.0,49.9,51.0,49.3,D,Good (75-89%)
S1342,female,high school,free/reduced,none,70.8,5.0,52.6,53.4,47.6,51.2,D,Average (60-74%)
S1343,female,associate's degree,standard,none,89.7,0.6,44.8,51.9,51.3,49.3,D,Good (75-89%)
S1344,female,some high school,free/reduced,none,69.8,3.8,26.3,33.9,30.2,30.1,F,Average (60-74%)
S1345,male,high school,free/reduced,none,93.6,3.1,45.9,45.4,38.9,43.4,D,Excellent (90-100%)
S1346,female,associate's degree,standard,none,100.0,0.0,36.3,40.8,44.2,40.4,D,Excellent (90-100%)
S1347,female,associate's degree,standard,completed,85.7,4.8,58.7,57.1,62.6,59.5,D,Good (75-89%)
S1348,male,master's degree,free/reduced,completed,87.8,3.2,41.9,48.7,54.6,48.4,D,Good (75-89%)
S1349,male,associate's degree,standard,none,77.1,0.0,32.1,35.4,32.1,33.2,F,Good (75-89%)
S1350,female,some college,free/reduced,none,63.9,5.7,39.2,43.2,40.9,41.1,D,Average (60-74%)
S1351,male,associate's degree,standard,none,76.0,6.9,50.7,49.7,49.5,50.0,D,Good (75-89%)
S1352,male,bachelor's degree,free/reduced,completed,71.1,7.0,46.0,53.8,47.5,49.1,D,Average (60-74%)
S1353,male,associate's degree,free/reduced,completed,67.5,4.7,55.8,57.8,59.1,57.6,D,Average (60-74%)
S1354,female,master's degree,standard,none,99.2,4.1,56.5,60.7,50.4,55.9,D,Excellent (90-100%)
S1355,female,associate's degree,standard,completed,84.7,6.7,69.5,74.1,77.8,73.8,C,Good (75-89%)
S1356,male,bachelor's degree,free/reduced,none,85.8,7.4,53.2,54.6,55.1,54.3,D,Good (75-89%)
S1357,female,some high school,standard,none,78.9,6.3,56.8,49.8,50.2,52.3,D,Good (75-89%)
S1358,male,associate's degree,standard,completed,80.3,2.1,56.6,50.0,48.1,51.6,D,Good (75-89%)
S1359,female,some college,standard,none,91.6,4.4,57.5,49.1,36.5,47.7,D,Excellent (90-100%)
S1360,female,some college,standard,none,81.7,4.9,46.1,50.8,50.8,49.2,D,Good (75-89%)
S1361,female,associate's degree,free/reduced,none,87.3,0.4,51.8,52.2,54.6,52.9,D,Good (75-89%)
S1362,male,master's degree,free/reduced,none,80.0,4.9,44.1,31.4,43.6,39.7,F,Good (75-89%)
S1363,female,master's degree,standard,completed,78.6,8.5,71.7,68.1,67.7,69.2,C,Good (75-89%)
S1364,male,high school,free/reduced,completed,67.9,5.3,51.9,51.1,59.6,54.2,D,Average (60-74%)
S1365,female,associate's degree,standard,none,62.2,6.9,38.7,34.3,35.8,36.3,F,Average (60-74%)
S1366,male,associate's degree,standard,none,79.4,4.4,51.5,58.1,52.0,53.9,D,Good (75-89%)
S1367,male,high school,standard,completed,82.6,3.9,57.9,55.4,66.0,59.8,D,Good (75-89%)
S1368,male,some high school,free/reduced,none,69.1,4.8,25.3,33.0,38.0,32.1,F,Average (60-74%)
S1369,female,some high school,standard,completed,81.7,2.4,51.0,36.1,44.2,43.8,D,Good (75-89%)
S1370,male,associate's degree,standard,completed,82.5,2.1,39.6,35.4,25.4,33.5,F,Good (75-89%)
S1371,female,some college,standard,none,60.4,6.5,39.8,33.3,32.0,35.0,F,Average (60-74%)
S1372,male,master's degree,free/reduced,completed,72.8,6.7,51.8,60.7,66.2,59.6,D,Average (60-74%)
S1373,male,some college,standard,none,86.1,2.0,44.8,45.6,37.3,42.6,D,Good (75-89%)
S1374,female,master's degree,standard,none,85.9,5.9,57.3,50.2,48.7,52.1,D,Good (75-89%)
S1375,male,some college,free/reduced,none,70.5,3.8,40.0,42.7,42.0,41.6,D,Average (60-74%)
S1376,female,bachelor's degree,standard,none,83.6,4.7,46.3,43.6,50.7,46.9,D,Good (75-89%)
S1377,female,some high school,standard,completed,92.2,4.9,58.6,62.5,55.2,58.8,D,Excellent (90-100%)
S1378,male,some college,standard,completed,89.8,6.0,76.0,66.7,68.2,70.3,C,Good (75-89%)
S1379,male,bachelor's degree,standard,completed,81.0,4.2,41.3,42.0,48.2,43.8,D,Good (75-89%)
S1380,male,bachelor's degree,standard,completed,77.3,6.8,53.8,44.3,59.9,52.7,D,Good (75-89%)
S1381,female,bachelor's degree,free/reduced,none,75.7,4.6,39.2,43.9,36.4,39.8,F,Good (75-89%)
S1382,female,some high school,standard,none,86.7,5.2,55.4,61.6,54.0,57.0,D,Good (75-89%)
S1383,male,some college,free/reduced,completed,84.0,2.3,53.4,69.4,61.6,61.5,C,Good (75-89%)
S1384,male,some high school,free/reduced,completed,88.3,8.3,65.1,63.4,70.0,66.2,C,Good (75-89%)
S1385,male,some high school,standard,none,83.3,4.9,64.9,51.5,55.1,57.2,D,Good (75-89%)
S1386,male,associate's degree,standard,none,90.2,5.4,51.8,42.6,45.9,46.8,D,Excellent (90-100%)
S1387,female,associate's degree,free/reduced,none,82.9,0.8,48.6,52.9,52.7,51.4,D,Good (75-89%)
S1388,female,associate's degree,standard,none,89.8,2.4,52.4,29.5,41.7,41.2,D,Good (75-89%)
S1389,male,bachelor's degree,free/reduced,completed,90.7,6.5,64.8,74.9,69.4,69.7,C,Excellent (90-100%)
S1390,female,associate's degree,free/reduced,none,74.0,4.6,34.7,44.1,40.7,39.8,F,Average (60-74%)
S1391,male,bachelor's degree,standard,completed,63.9,0.2,40.0,50.8,54.1,48.3,D,Average (60-74%)
S1392,male,some high school,standard,completed,97.4,6.1,75.3,68.3,77.9,73.8,C,Excellent (90-100%)
S1393,female,high school,standard,completed,84.6,2.9,50.6,48.2,48.7,49.2,D,Good (75-89%)
S1394,female,associate's degree,standard,none,64.9,6.8,56.1,43.5,41.8,47.1,D,Average (60-74%)
S1395,female,bachelor's degree,standard,none,74.9,3.8,41.8,43.8,46.3,44.0,D,Average (60-74%)
S1396,male,some high school,standard,completed,89.7,4.4,71.2,74.0,66.7,70.6,C,Good (75-89%)
S1397,male,some college,free/reduced,completed,79.2,6.4,53.9,56.1,56.6,55.5,D,Good (75-89%)
S1398,male,associate's degree,free/reduced,none,76.9,2.2,41.3,43.6,39.7,41.5,D,Good (75-89%)
S1399,male,some high school,free/reduced,completed,96.0,2.0,46.7,47.4,53.5,49.2,D,Excellent (90-100%)
S1400,female,some college,standard,none,71.5,3.6,50.3,47.9,47.0,48.4,D,Average (60-74%)
S1401,female,bachelor's degree,standard,completed,74.0,5.7,50.3,53.3,39.9,47.8,D,Average (60-74%)
S1402,male,associate's degree,standard,none,84.1,1.3,36.8,35.4,32.2,34.8,F,Good (75-89%)
S1403,female,high school,standard,none,85.9,0.7,45.7,43.8,40.5,43.3,D,Good (75-89%)
S1404,male,bachelor's degree,free/reduced,none,87.0,5.6,52.9,63.3,68.9,61.7,C,Good (75-89%)
S1405,female,high school,standard,none,91.1,2.8,55.1,54.4,54.0,54.5,D,Excellent (90-100%)
S1406,male,bachelor's degree,standard,none,84.0,3.2,48.7,52.9,45.6,49.1,D,Good (75-89%)
S1407,male,high school,free/reduced,none,86.9,0.3,29.0,36.8,37.0,34.3,F,Good (75-89%)
S1408,female,associate's degree,standard,none,79.4,2.6,51.9,43.5,53.6,49.7,D,Good (75-89%)
S1409,male,some college,standard,completed,82.6,4.0,55.6,55.1,35.0,48.6,D,Good (75-89%)
S1410,male,high school,standard,none,83.1,5.9,47.9,55.4,44.3,49.2,D,Good (75-89%)
S1411,male,bachelor's degree,standard,completed,84.2,2.5,47.4,41.7,58.5,49.2,D,Good (75-89%)
S1412,male,high school,free/reduced,completed,89.7,7.3,51.7,53.7,59.7,55.0,D,Good (75-89%)
S1413,male,some high school,standard,none,87.6,2.6,50.1,44.2,40.7,45.0,D,Good (75-89%)
S1414,male,high school,free/reduced,none,82.4,2.6,48.6,47.9,42.9,46.5,D,Good (75-89%)
S1415,female,associate's degree,free/reduced,completed,73.9,7.1,53.2,57.2,61.8,57.4,D,Average (60-74%)
S1416,female,bachelor's degree,free/reduced,completed,82.7,4.4,59.3,60.2,61.9,60.5,C,Good (75-89%)
S1417,male,master's degree,standard,none,81.7,2.9,45.8,48.7,53.0,49.2,D,Good (75-89%)
S1418,male,high school,standard,completed,83.9,3.7,66.9,56.7,58.4,60.7,C,Good (75-89%)
S1419,female,some college,free/reduced,none,100.0,6.7,57.3,65.9,56.7,60.0,C,Excellent (90-100%)
S1420,female,some high school,standard,none,76.8,6.9,50.1,52.6,56.7,53.1,D,Good (75-89%)
S1421,female,some college,standard,completed,86.2,2.4,53.0,45.5,42.7,47.1,D,Good (75-89%)
S1422,female,master's degree,free/reduced,none,92.7,3.9,53.0,48.3,46.7,49.3,D,Excellent (90-100%)
S1423,female,associate's degree,standard,completed,83.0,4.2,61.9,63.8,49.2,58.3,D,Good (75-89%)
S1424,male,associate's degree,free/reduced,none,100.0,2.0,48.1,41.1,36.0,41.7,D,Excellent (90-100%)
S1425,male,some college,free/reduced,completed,78.2,3.9,44.6,53.7,46.9,48.4,D,Good (75-89%)
S1426,female,bachelor's degree,free/reduced,none,85.2,4.0,40.4,43.4,36.8,40.2,D,Good (75-89%)
S1427,female,some college,standard,none,74.0,6.3,45.6,40.0,45.7,43.8,D,Average (60-74%)
S1428,male,some high school,free/reduced,none,78.5,6.4,34.6,40.7,36.7,37.3,F,Good (75-89%)
S1429,female,high school,standard,none,84.5,3.3,53.1,60.7,36.8,50.2,D,Good (75-89%)
S1430,male,some high school,free/reduced,completed,90.5,3.6,65.0,64.0,57.0,62.0,C,Excellent (90-100%)
S1431,female,high school,free/reduced,none,85.2,5.3,52.3,49.5,50.8,50.9,D,Good (75-89%)
S1432,female,some high school,free/reduced,none,94.6,2.8,50.9,63.0,56.9,56.9,D,Excellent (90-100%)
S1433,male,some college,standard,none,81.1,5.2,40.9,47.0,54.1,47.3,D,Good (75-89%)
S1434,male,associate's degree,standard,none,78.7,3.8,72.1,81.1,59.1,70.8,C,Good (75-89%)
S1435,male,high school,standard,completed,100.0,2.1,54.4,56.4,58.8,56.5,D,Excellent (90-100%)
S1436,female,some college,standard,none,85.9,2.1,42.8,42.9,43.6,43.1,D,Good (75-89%)
S1437,female,master's degree,standard,completed,74.8,6.9,53.6,62.3,54.4,56.8,D,Average (60-74%)
S1438,male,associate's degree,standard,none,75.1,3.7,38.7,35.6,39.5,37.9,F,Good (75-89%)
S1439,male,some college,standard,completed,72.6,7.3,69.5,63.6,62.0,65.0,C,Average (60-74%)
S1440,female,high school,free/reduced,none,91.4,3.0,42.2,57.1,42.1,47.1,D,Excellent (90-100%)
S1441,male,bachelor's degree,free/reduced,none,78.4,4.6,60.8,57.0,57.0,58.3,D,Good (75-89%)
S1442,male,high school,standard,completed,83.3,8.8,67.1,59.2,65.8,64.0,C,Good (75-89%)
S1443,male,high school,free/reduced,completed,81.4,1.9,52.9,47.6,44.4,48.3,D,Good (75-89%)
S1444,female,bachelor's degree,free/reduced,completed,89.3,0.2,39.2,48.5,45.9,44.5,D,Good (75-89%)
S1445,female,some college,standard,none,73.5,6.6,56.9,53.7,52.7,54.4,D,Average (60-74%)
S1446,male,associate's degree,standard,none,71.2,2.3,41.8,32.3,33.3,35.8,F,Average (60-74%)
S1447,female,associate's degree,free/reduced,completed,84.2,4.0,49.7,47.1,50.8,49.2,D,Good (75-89%)
S1448,female,associate's degree,free/reduced,none,88.0,2.8,40.2,38.2,39.6,39.3,F,Good (75-89%)
S1449,male,high school,free/reduced,completed,85.3,4.5,67.0,75.3,68.1,70.1,C,Good (75-89%)
S1450,female,high school,free/reduced,none,73.9,2.1,43.5,42.9,35.7,40.7,D,Average (60-74%)
S1451,female,high school,free/reduced,none,88.8,3.6,32.1,44.3,35.0,37.1,F,Good (75-89%)
S1452,male,high school,standard,completed,74.6,4.9,48.3,50.4,42.9,47.2,D,Average (60-74%)
S1453,male,bachelor's degree,standard,completed,76.8,2.0,46.2,39.1,37.3,40.9,D,Good (75-89%)
S1454,female,high school,standard,none,72.6,2.6,45.5,35.4,39.2,40.0,D,Average (60-74%)
S1455,female,some college,free/reduced,none,95.0,3.3,48.3,56.5,55.3,53.4,D,Excellent (90-100%)
S1456,male,bachelor's degree,standard,none,88.3,1.1,48.8,39.4,41.5,43.2,D,Good (75-89%)
S1457,female,associate's degree,standard,none,88.0,3.2,43.2,41.6,54.2,46.3,D,Good (75-89%)
S1458,female,some college,free/reduced,none,94.5,4.2,43.3,56.1,57.7,52.4,D,Excellent (90-100%)
S1459,male,some college,standard,none,100.0,3.2,47.7,40.9,51.9,46.8,D,Excellent (90-100%)
S1460,female,master's degree,free/reduced,completed,64.9,3.5,31.9,35.5,44.4,37.3,F,Average (60-74%)
S1461,male,associate's degree,standard,completed,74.6,4.0,36.1,43.8,53.2,44.4,D,Average (60-74%)
S1462,female,bachelor's degree,free/reduced,none,75.8,2.7,31.3,35.2,27.9,31.5,F,Good (75-89%)
S1463,male,bachelor's degree,free/reduced,none,73.5,5.4,52.1,58.2,38.8,49.7,D,Average (60-74%)
S1464,male,associate's degree,standard,none,71.2,6.9,56.6,56.4,49.8,54.3,D,Average (60-74%)
S1465,female,high school,free/reduced,none,79.0,3.1,48.7,49.2,50.4,49.4,D,Good (75-89%)
S1466,male,some college,standard,none,69.8,5.0,35.3,40.0,43.4,39.6,F,Average (60-74%)
S1467,female,some high school,standard,none,85.4,3.5,45.5,46.2,51.6,47.8,D,Good (75-89%)
S1468,male,associate's degree,free/reduced,completed,82.5,4.7,50.7,41.8,50.6,47.7,D,Good (75-89%)
S1469,female,master's degree,free/reduced,none,86.8,7.1,52.9,64.0,62.3,59.7,D,Good (75-89%)
S1470,female,some college,standard,none,87.1,5.0,56.1,54.0,55.0,55.0,D,Good (75-89%)
S1471,female,some college,standard,none,88.0,0.5,41.7,33.4,38.1,37.7,F,Good (75-89%)
S1472,male,some high school,free/reduced,completed,78.3,4.9,52.7,52.7,50.5,52.0,D,Good (75-89%)
S1473,male,master's degree,standard,completed,100.0,6.5,57.7,67.5,68.7,64.6,C,Excellent (90-100%)
S1474,female,some high school,standard,none,84.3,3.6,41.1,37.0,36.2,38.1,F,Good (75-89%)
S1475,female,some high school,standard,completed,63.4,6.0,46.9,38.8,42.4,42.7,D,Average (60-74%)
S1476,female,high school,standard,none,72.0,2.6,41.1,53.8,37.8,44.2,D,Average (60-74%)
S1477,male,some high school,free/reduced,none,81.7,1.0,28.0,35.3,31.3,31.5,F,Good (75-89%)
S1478,female,some college,standard,completed,82.2,4.3,47.3,47.5,41.7,45.5,D,Good (75-89%)
S1479,male,some college,standard,none,80.8,0.5,26.5,32.5,23.3,27.4,F,Good (75-89%)
S1480,male,high school,free/reduced,none,77.3,3.5,38.1,36.6,29.9,34.9,F,Good (75-89%)
S1481,female,some high school,standard,none,100.0,6.6,72.0,54.9,56.1,61.0,C,Excellent (90-100%)
S1482,male,some high school,free/reduced,none,87.5,0.2,35.1,40.8,26.5,34.1,F,Good (75-89%)
S1483,female,some college,standard,completed,89.3,1.4,45.3,46.1,46.4,45.9,D,Good (75-89%)
S1484,male,some high school,free/reduced,none,72.7,1.9,29.3,35.8,32.4,32.5,F,Average (60-74%)
S1485,male,associate's degree,free/reduced,none,72.0,3.9,29.8,45.0,42.4,39.1,F,Average (60-74%)
S1486,male,high school,free/reduced,none,82.4,3.3,28.1,32.0,32.4,30.8,F,Good (75-89%)
S1487,female,high school,standard,none,83.7,6.8,60.6,59.9,51.6,57.4,D,Good (75-89%)
S1488,female,some college,standard,none,63.4,5.9,46.8,45.6,50.4,47.6,D,Average (60-74%)
S1489,female,some college,free/reduced,none,80.2,5.0,33.8,41.1,42.3,39.1,F,Good (75-89%)
S1490,female,some high school,standard,completed,82.1,4.3,52.1,44.8,52.0,49.6,D,Good (75-89%)
S1491,female,some high school,standard,none,79.8,4.8,49.3,43.7,58.0,50.3,D,Good (75-89%)
S1492,female,bachelor's degree,standard,none,73.9,2.3,31.3,37.2,34.8,34.4,F,Average (60-74%)
S1493,female,some high school,free/reduced,none,76.6,5.7,41.6,40.6,47.5,43.2,D,Good (75-89%)
S1494,male,some college,free/reduced,none,80.2,1.8,39.9,37.3,43.7,40.3,D,Good (75-89%)
S1495,male,some college,standard,none,82.9,5.7,46.3,51.7,38.7,45.6,D,Good (75-89%)
S1496,male,high school,free/reduced,none,88.0,6.4,54.3,72.7,61.9,63.0,C,Good (75-89%)
S1497,male,some college,standard,none,92.8,4.4,58.1,61.8,57.2,59.0,D,Excellent (90-100%)
S1498,female,associate's degree,standard,completed,79.1,3.6,48.1,47.8,51.6,49.2,D,Good (75-89%)
S1499,male,bachelor's degree,standard,completed,77.4,4.8,55.5,56.7,58.1,56.8,D,Good (75-89%)
